Population Number | Heuristic | Fitness | NaN Count | Number of valid samples
1 | (min (* (abs magnitue) (sqr (sqrt (sqr (sqrt 9.5))))) cwr_flag_number) | 0.00013245129929680827 | 0 | 46686579
1 | (sqr (abs (- -3.0 smtp))) | 3.934388725847692e-05 | 0 | 46686579
1 | (- 3.3 (/ -8.7 (sqr -3.7))) | 0.0 | 0 | 46686579
1 | (/ (sqrt 6.7) -7.5) | 3.5976646012958683e-06 | 0 | 46686579
1 | (neg (- (abs (- -1.4 -7.2)) (neg icmp))) | 0.06866983110782852 | 0 | 46686579
1 | (abs (abs (neg -4.7))) | 4.237249419304023e-05 | 0 | 46686579
1 | (+ (neg (neg (abs radius))) (- (neg (abs -6.9)) 1.2)) | 0.44544907149474283 | 0 | 46686579
1 | (abs (* urg_count (max (- (sqr 8.0) (neg avg)) 7.9))) | 0.10610115570229532 | 0 | 46686579
1 | (neg (abs (- (* udp (abs icmp)) 4.4))) | 0.0 | 0 | 46686579
1 | (/ -7.1 (sqr (abs (+ syn_flag_number (sqr ssh))))) | 0.0 | 37004903 | 9681676
1 | (neg (sqrt (- (neg psh_flag_number) 0.9))) | 0.038352953117245646 | 0 | 46686579
1 | (sqrt (sqrt (sqrt (min 2.4 (sqrt (neg (neg max))))))) | 1.4891395956850241e-05 | 0 | 46686579
1 | (neg (* (sqr (sqr (sqrt 6.6))) (abs std))) | 0.4459755285483011 | 0 | 46686579
1 | (neg (neg (max (sqr (abs (sqr (abs 6.6)))) -3.9))) | 0.0 | 0 | 46686579
1 | (sqr (sqr (- (max -4.5 ipv) (sqrt -6.2)))) | 0.008244862713730336 | 0 | 46686579
1 | 6.5 | 0.0 | 0 | 46686579
1 | 0.4 | 0.0 | 0 | 46686579
1 | (+ -3.1 (* avg (neg dhcp))) | 0.0002031609202863619 | 0 | 46686579
1 | (/ (abs (min number 0.0)) 0.5) | 0.0 | 0 | 46686579
