Population Number | Heuristic | Fitness | NaN Count | Number of valid samples
4 | (sqrt (max (abs (abs (abs 4.6))) srate)) | 0.02784410855507472 | 0 | 46686579
4 | (- (neg 3.8) (abs -3.9)) | 3.65553171981858e-05 | 0 | 46686579
5 | (abs (sqrt radius)) | 0.47281235419795087 | 0 | 46686579
5 | (abs (sqrt covariance)) | 0.44955356821594356 | 0 | 46686579
5 | radius | 0.4454490714946818 | 0 | 46686579
5 | (+ https 6.3) | 0.44379573766651503 | 0 | 46686579
5 | (+ https drate) | 0.4435642758495109 | 0 | 46686579
5 | (+ (+ -4.9 (abs (neg (neg (min 7.2 srate))))) drate) | 0.10588345775824792 | 0 | 46686579
5 | (max -7.0 (sqr (/ syn_flag_number http))) | 0.0 | 44434688 | 2251891
5 | (abs (neg (sqr telnet))) | 2.27152024016641e-05 | 0 | 46686579
5 | (+ (sqr -5.6) (sqr (neg (* (+ telnet fin_flag_number) -3.9)))) | 0.04777950216977006 | 0 | 46686579
5 | (+ (neg 5.7) drate) | 0.00011695959834146894 | 0 | 46686579
5 | (+ https 5.1) | 0.44379573769703684 | 0 | 46686579
5 | (abs (sqrt 0.9)) | 0.0 | 0 | 46686579
5 | (sqrt -5.7) | 0.0 | 0 | 46686579
5 | (+ (abs -6.4) drate) | 0.00011696021037712282 | 0 | 46686579
5 | (neg (abs (/ fin_flag_number (abs telnet)))) | 0.0 | 46686578 | 1
5 | (abs (neg (/ (+ -9.3 ack_count) -7.2))) | 0.025655373478671778 | 0 | 46686579
5 | (min (+ fin_flag_number -7.2) (sqrt (min (sqrt irc) -5.7))) | 0.04777949572085668 | 0 | 46686579
5 | (max (abs (min syn_flag_number http)) (- (neg ece_flag_number) number)) | 0.01994953870335758 | 0 | 46686579
5 | (+ srate 6.3) | 0.011088870212331285 | 0 | 46686579
5 | (* (max rst_count (neg (abs ack_count))) (min 1.1 (sqr min))) | 0.49165452363353374 | 0 | 46686579
6 | (* (max rst_count (neg (abs ack_count))) (min 1.1 (sqr min))) | 0.49165452363353374 | 0 | 46686579
6 | (abs (sqrt radius)) | 0.47281235419795087 | 0 | 46686579
6 | (abs (sqrt covariance)) | 0.44955356821594356 | 0 | 46686579
6 | radius | 0.4454490714946818 | 0 | 46686579
6 | (+ https 5.1) | 0.44379573769703684 | 0 | 46686579
6 | (sqr (+ 6.2 protocol_type)) | 0.036893651046808626 | 0 | 46686579
6 | (* (max rst_count (neg (abs ack_count))) (min 1.1 (sqr 0.6))) | 0.4916545236335339 | 0 | 46686579
6 | (+ -3.7 (sqrt ack_count)) | 0.012747661725422663 | 0 | 46686579
6 | (sqrt (/ (+ ssh (sqrt llc)) (sqrt 0.8))) | 0.008239740188427503 | 0 | 46686579
6 | (abs (neg (abs (max ece_flag_number (sqrt (abs -7.2)))))) | 0.0 | 0 | 46686579
6 | (/ 1.1 (* number -0.5)) | 0.26553179985685976 | 0 | 46686579
6 | (sqr (sqrt (abs (abs (abs syn_flag_number))))) | 0.07936449640040992 | 0 | 46686579
6 | (abs (abs -8.3)) | 0.0 | 0 | 46686579
6 | (* (max rst_count (neg (abs rate))) (min 1.1 (sqr min))) | 0.49165452363353374 | 0 | 46686579
6 | (sqr rst_flag_number) | 0.0489336538422597 | 0 | 46686579
6 | (sqr (sqrt (sqrt (sqrt min)))) | 0.08505216534235502 | 0 | 46686579
6 | (* (max rst_count -2.3) (min 1.1 (sqr min))) | 0.49165452363353374 | 0 | 46686579
6 | (+ https (sqrt (abs -9.5))) | 0.4437957376895436 | 0 | 46686579
6 | (* (max rst_count (neg (abs ack_count))) (min 1.1 (sqrt covariance))) | 0.5025272020702233 | 0 | 46686579
6 | (abs (sqrt (- (neg protocol_type) 4.4))) | 0.01445294466799746 | 0 | 46686579
7 | (* (max rst_count (neg (abs ack_count))) (min 1.1 (sqrt covariance))) | 0.5025272020702233 | 0 | 46686579
7 | (* (max rst_count (neg (abs ack_count))) (min 1.1 (sqr 0.6))) | 0.4916545236335339 | 0 | 46686579
7 | (* (max rst_count (neg (abs ack_count))) (min 1.1 (sqr min))) | 0.49165452363353374 | 0 | 46686579
7 | (* (max rst_count -2.3) (min 1.1 (sqr min))) | 0.49165452363353374 | 0 | 46686579
7 | (* (max rst_count (neg (abs rate))) (min 1.1 (sqr min))) | 0.49165452363353374 | 0 | 46686579
7 | tot_sum | 0.3081181314519219 | 0 | 46686579
7 | (* (max drate (neg (abs ack_count))) (min 1.1 (sqrt covariance))) | 0.0001711574400200829 | 0 | 46686579
7 | (sqr (sqrt (abs (/ (max -5.2 1.8) (sqrt (sqrt 3.2)))))) | 0.0 | 0 | 46686579
7 | (* (abs (- -8.9 (abs max))) (min 1.1 (sqr 0.6))) | 0.4543540046850482 | 0 | 46686579
7 | (* (max rst_count (neg (abs rate))) (min 1.1 (sqr -0.8))) | 0.4916545236335367 | 0 | 46686579
7 | (sqrt -5.3) | 6.421227746271293e-07 | 0 | 46686579
7 | (* (* drate (/ 0.1 std)) (min 1.1 (sqrt covariance))) | 0.0 | 31739830 | 14946749
7 | (* (max rst_count (neg 2.1)) (min 1.1 (sqr min))) | 0.49165452363353374 | 0 | 46686579
7 | (* (neg weight) (min 1.1 (sqrt covariance))) | 0.23384229239474294 | 0 | 46686579
7 | (* (abs http) (min 1.1 (sqr 0.6))) | 0.007036498747206466 | 0 | 46686579
7 | (* (- (neg llc) irc) (min 1.1 (sqr min))) | 0.008241572263281483 | 0 | 46686579
7 | (* (max rst_count telnet) (min 1.1 (sqr min))) | 0.49165452363353374 | 0 | 46686579
7 | (* (max rst_count (neg (abs ack_count))) (sqrt (sqr (sqrt http)))) | 0.10884541349062288 | 0 | 46686579
7 | (* (max 1.6 (neg (abs ack_count))) (min 1.1 (sqr min))) | 0.0 | 0 | 46686579
7 | (abs (abs (sqrt 7.6))) | 2.06341235143123e-05 | 0 | 46686579
8 | (* (max rst_count (neg (abs ack_count))) (min 1.1 (sqrt covariance))) | 0.5025272020702233 | 0 | 46686579
8 | (* (max rst_count (neg (abs rate))) (min 1.1 (sqr -0.8))) | 0.4916545236335367 | 0 | 46686579
8 | (* (max rst_count (neg (abs ack_count))) (min 1.1 (sqr 0.6))) | 0.4916545236335339 | 0 | 46686579
8 | (* (max rst_count telnet) (min 1.1 (sqr min))) | 0.49165452363353374 | 0 | 46686579
8 | (* (max rst_count (neg (abs ack_count))) (min 1.1 (sqr min))) | 0.49165452363353374 | 0 | 46686579
8 | (* (max rst_count (neg (abs ack_count))) (min rst_count (sqr 0.6))) | 0.49165583304979454 | 0 | 46686579
8 | (min (* -2.5 (sqr (neg rate))) srate) | 0.005653265434011386 | 0 | 46686579
8 | (* (max rst_count (neg (abs ack_count))) (sqrt (abs -2.9))) | 0.4916545236335371 | 0 | 46686579
8 | (* (max rst_count (neg (abs 10.0))) (min 1.1 (sqrt covariance))) | 0.5025272020702233 | 0 | 46686579
8 | (* (max rst_count (neg (abs covariance))) (min 1.1 (sqrt covariance))) | 0.5025272020702233 | 0 | 46686579
8 | (- number (neg (* (neg 7.3) (neg 5.8)))) | 0.0001168879304284097 | 0 | 46686579
8 | (* (max rst_count (neg (abs ack_count))) (abs (neg 5.1))) | 0.49165452363353723 | 0 | 46686579
8 | (* (max rst_count telnet) (min (neg -6.6) (sqr min))) | 0.49165452363353856 | 0 | 46686579
8 | (* (max rst_count (sqrt psh_flag_number)) (min 1.1 (sqrt covariance))) | 0.5025271550920691 | 0 | 46686579
8 | (* (max rst_count (neg (abs ack_count))) (sqr llc)) | 0.49159931642464555 | 0 | 46686579
8 | (* (* dhcp -0.5) (min 1.1 (sqr -0.8))) | 0.0002031711186677187 | 0 | 46686579
8 | (* (max rst_count (* 9.8 -1.8)) (min 1.1 (sqr 0.6))) | 0.4916545236335339 | 0 | 46686579
8 | (* (max rst_count (neg (abs ack_count))) (neg -5.1)) | 0.49165452363353723 | 0 | 46686579
8 | (* (max (abs (sqrt tot_sum)) telnet) (min 1.1 (sqr min))) | 0.29448633410054514 | 0 | 46686579
8 | (* (min 7.4 8.8) (min 1.1 (sqr min))) | 8.956764230955766e-06 | 0 | 46686579
9 | (* (max rst_count (neg (abs covariance))) (min 1.1 (sqrt covariance))) | 0.5025272020702233 | 0 | 46686579
9 | (* (max rst_count (neg (abs 10.0))) (min 1.1 (sqrt covariance))) | 0.5025272020702233 | 0 | 46686579
9 | (* (max rst_count (neg (abs ack_count))) (min 1.1 (sqrt covariance))) | 0.5025272020702233 | 0 | 46686579
9 | (* (max rst_count (sqrt psh_flag_number)) (min 1.1 (sqrt covariance))) | 0.5025271550920691 | 0 | 46686579
9 | (* (max rst_count (neg (abs ack_count))) (min rst_count (sqr 0.6))) | 0.49165583304979454 | 0 | 46686579
9 | (* (/ (neg urg_count) (sqrt rate)) (min 1.1 (sqrt covariance))) | 0.285881423220868 | 947054 | 45739525
9 | (* (sqr (neg syn_count)) (min 1.1 (sqrt covariance))) | 0.19264192230432806 | 0 | 46686579
9 | (* (max rst_count (neg (abs ack_count))) (min rst_count (sqr tot_sum))) | 0.2602387577685202 | 0 | 46686579
9 | (* (max rst_count (sqrt psh_flag_number)) (abs (sqr (neg -2.2)))) | 0.4916544303491066 | 0 | 46686579
9 | (* (max rst_count (sqrt (sqr -9.4))) (min 1.1 (sqrt covariance))) | 0.5018773076637405 | 0 | 46686579
9 | (* (+ psh_flag_number http) (min 1.1 (sqrt covariance))) | 0.029082831026209666 | 0 | 46686579
9 | (* 0.0 (min rst_count (sqr 0.6))) | 0.0 | 0 | 46686579
9 | (/ (/ (abs 2.8) 5.6) (neg (- covariance (sqrt -5.3)))) | 0.2880307226839634 | 0 | 46686579
9 | (* (max rst_count (neg (abs ack_count))) (min rst_count (sqr http))) | 0.10884696409955238 | 0 | 46686579
9 | (* (max rst_count (neg (abs ack_count))) (min -9.6 (sqr 0.6))) | 0.4916545236335371 | 0 | 46686579
9 | (* (max rst_count (sqr (sqr 8.5))) (min 1.1 (sqrt covariance))) | 0.2412752959928487 | 0 | 46686579
9 | (* (max psh_flag_number (neg (abs ack_count))) (min rst_count (sqr 0.6))) | 0.03835295312427716 | 0 | 46686579
9 | (* (max rst_count (neg (abs covariance))) (abs (abs dns))) | 0.02259696694432969 | 0 | 46686579
9 | (* (/ (sqr 1.3) avg) (min 1.1 (sqrt covariance))) | 0.025490770005202217 | 0 | 46686579
9 | (* (max rst_count -6.6) (min 1.1 (sqrt covariance))) | 0.5025272020702233 | 0 | 46686579
10 | (* (max rst_count -6.6) (min 1.1 (sqrt covariance))) | 0.5025272020702233 | 0 | 46686579
10 | (* (max rst_count (neg (abs ack_count))) (min 1.1 (sqrt covariance))) | 0.5025272020702233 | 0 | 46686579
10 | (* (max rst_count (neg (abs 10.0))) (min 1.1 (sqrt covariance))) | 0.5025272020702233 | 0 | 46686579
10 | (* (max rst_count (neg (abs covariance))) (min 1.1 (sqrt covariance))) | 0.5025272020702233 | 0 | 46686579
10 | (* (max rst_count (sqrt psh_flag_number)) (min 1.1 (sqrt covariance))) | 0.5025271550920691 | 0 | 46686579
10 | (- 2.0 (abs (* 7.3 1.7))) | 9.993512781377412e-05 | 0 | 46686579
10 | (* (max 9.3 (neg (abs ack_count))) (min 1.1 (sqrt covariance))) | 0.24049133407524428 | 0 | 46686579
10 | (* (max 3.8 (neg (abs ack_count))) (min 1.1 (sqrt covariance))) | 0.24049133407504875 | 0 | 46686579
10 | (* (max rst_count (neg ipv)) (min 1.1 (sqrt covariance))) | 0.5025272020702233 | 0 | 46686579
10 | (* (sqrt -4.3) (min 1.1 (sqrt covariance))) | 0.24049133407521323 | 0 | 46686579
10 | (* 1.0 (min 1.1 (sqrt covariance))) | 0.2404913340752535 | 0 | 46686579
10 | (* (max tcp (neg (abs 10.0))) (min 1.1 (sqrt covariance))) | 0.3211307486794156 | 0 | 46686579
10 | (* (max rst_count -6.6) dhcp) | 3.633438302756817e-05 | 0 | 46686579
10 | (neg (/ (sqrt -9.4) dns)) | 0.0 | 46680478 | 6101
10 | (* (sqr 4.8) (min 1.1 (sqrt covariance))) | 0.24049133407522313 | 0 | 46686579
10 | (* (max -3.4 (neg (abs 10.0))) (min 1.1 (sqrt covariance))) | 0.24049133407527734 | 0 | 46686579
10 | (* (max rst_count (neg (sqrt -2.9))) (min 1.1 (sqrt covariance))) | 0.5024112380439087 | 0 | 46686579
10 | (sqr (max (sqrt (sqr dns)) (sqr -9.3))) | 1.3407704347903733e-05 | 0 | 46686579
10 | (* (max rst_count 0.4) (min 1.1 (sqrt covariance))) | 0.5025033202937749 | 0 | 46686579
10 | (* (max rst_count (sqrt psh_flag_number)) (min 1.1 (/ https -8.1))) | 0.4447748056134266 | 0 | 46686579
11 | (* (max rst_count -6.6) (min 1.1 (sqrt covariance))) | 0.5025272020702233 | 0 | 46686579
11 | (* (max rst_count (neg (abs ack_count))) (min 1.1 (sqrt covariance))) | 0.5025272020702233 | 0 | 46686579
11 | (* (max rst_count (neg (abs 10.0))) (min 1.1 (sqrt covariance))) | 0.5025272020702233 | 0 | 46686579
11 | (* (max rst_count (neg (abs covariance))) (min 1.1 (sqrt covariance))) | 0.5025272020702233 | 0 | 46686579
11 | (* (max rst_count (neg ipv)) (min 1.1 (sqrt covariance))) | 0.5025272020702233 | 0 | 46686579
11 | (* (max rst_count (/ -1.6 -8.5)) (min 1.1 (sqrt covariance))) | 0.5025168990237447 | 0 | 46686579
11 | (* (max avg (neg (abs covariance))) (min 1.1 (sqrt covariance))) | 0.3494804851204711 | 0 | 46686579
11 | (* (max rst_count std) (min 1.1 (sqrt covariance))) | 0.5286844615993377 | 0 | 46686579
11 | (* (max rst_count (sqr (sqrt https))) (min 1.1 (sqrt covariance))) | 0.5025257278948417 | 0 | 46686579
11 | (* (max rst_count (max syn_flag_number -9.5)) (min 1.1 (sqrt covariance))) | 0.5025143829492534 | 0 | 46686579
11 | (* (max rst_count (neg (abs -9.7))) (min 1.1 (sqrt covariance))) | 0.5025272020702233 | 0 | 46686579
11 | (* (max rst_count (neg (abs covariance))) (- ece_flag_number syn_count)) | 0.4413763303747329 | 0 | 46686579
11 | (* (max number (neg (abs covariance))) (min 1.1 (sqrt covariance))) | 0.2394545849726885 | 0 | 46686579
11 | (* (abs weight) (min 1.1 (sqrt covariance))) | 0.23384229239474294 | 0 | 46686579
11 | (* (max ack_count 3.7) (min 1.1 (sqrt covariance))) | 0.2404914128452011 | 0 | 46686579
11 | (* (max rst_count -6.6) (min (neg (sqr syn_flag_number)) (sqrt covariance))) | 0.0021777519400753525 | 0 | 46686579
11 | (* (max rst_count (neg (abs 10.0))) (abs -0.6)) | 0.4916545236335371 | 0 | 46686579
11 | (/ (abs 4.9) min) | 0.11369716508800201 | 0 | 46686579
11 | (* (max rst_count (neg (neg -9.3))) (min 1.1 (sqrt covariance))) | 0.5025272020702233 | 0 | 46686579
11 | (* (max rst_count (neg (abs ack_count))) (sqr 3.5)) | 0.4916545236335333 | 0 | 46686579
12 | (* (max rst_count std) (min 1.1 (sqrt covariance))) | 0.5286844615993377 | 0 | 46686579
