Population Number | Heuristic | Fitness | NaN Count | Number of valid samples
1 | (- (sqrt (sqr 1.3)) (sqr (neg radius))) | 0.28884925039724174 | 0 | 46686579
1 | (abs (sqrt (* (neg (* 7.6 -8.5)) (/ rst_count icmp)))) | 0.0 | 39042979 | 7643600
1 | (abs (+ (sqr -5.8) ack_count)) | 0.02565537361122125 | 0 | 46686579
1 | (max (abs (sqrt (neg -3.0))) (sqr (sqr 6.8))) | 0.0 | 0 | 46686579
1 | (neg rst_flag_number) | 0.0489336538422597 | 0 | 46686579
1 | (abs (sqr (sqr 3.4))) | 0.0 | 0 | 46686579
1 | (- (/ (sqr -8.1) (neg number)) duration) | 0.5461808740376995 | 0 | 46686579
1 | (* -0.4 (/ protocol_type (neg iat))) | 0.005539367980839577 | 324 | 46686255
1 | (neg (max llc (max fin_flag_number (neg -4.4)))) | 0.0 | 0 | 46686579
1 | (sqrt (neg (neg (abs (+ fin_count 8.8))))) | 0.04504271401064616 | 0 | 46686579
1 | (sqr (- (sqr (min 5.0 duration)) (/ ece_flag_number (neg irc)))) | 0.0 | 46686572 | 7
1 | (sqr (abs 5.3)) | 3.1373927372103656e-05 | 0 | 46686579
1 | (abs (- 0.1 -1.7)) | 2.1521194708403744e-05 | 0 | 46686579
1 | (neg (sqr (abs -6.2))) | 0.0 | 0 | 46686579
1 | (neg (+ (sqrt ack_count) magnitue)) | 0.3026179398033257 | 0 | 46686579
1 | (sqrt (neg (neg 0.4))) | 1.7383542412742552e-05 | 0 | 46686579
1 | (sqrt dns) | 0.024746286524164794 | 0 | 46686579
1 | (max (+ (neg rst_flag_number) avg) drate) | 0.3182167648338781 | 0 | 46686579
1 | (max 0.4 (neg smtp)) | 0.0 | 0 | 46686579
1 | (abs (sqr (sqrt (* duration tot_size)))) | 0.31975464279581883 | 0 | 46686579
2 | (max (+ psh_flag_number ssh) min) | 0.09766980049635997 | 0 | 46686579
2 | (abs (neg (- 2.8 (abs -8.5)))) | 8.366148076993412e-06 | 0 | 46686579
2 | (neg (sqr max)) | 0.28212098717562467 | 0 | 46686579
2 | (+ (min (abs (sqrt ssh)) -2.8) 3.1) | 0.0 | 0 | 46686579
2 | (sqr (- (sqr (min 5.0 duration)) (/ magnitue (neg irc)))) | 0.0 | 46686572 | 7
2 | (* avg (abs -2.7)) | 0.3181931694365688 | 0 | 46686579
2 | -9.7 | 2.5307191705892744e-05 | 0 | 46686579
2 | (abs (+ (sqrt fin_flag_number) (sqrt (neg syn_count)))) | 0.09478194207295618 | 0 | 46686579
2 | (+ (neg (sqr (sqr (sqrt 9.9)))) (neg -6.4)) | 0.0 | 0 | 46686579
2 | (- (/ (sqr -8.1) (neg (sqrt ack_flag_number))) duration) | 0.0 | 40923976 | 5762603
