Population Number | Heuristic | Fitness | NaN Count | Number of valid samples
1 | -7.6 | 2.3178056550323405e-05 | 0 | 46686579
1 | 6.0 | 0.0 | 0 | 46686579
1 | udp | 0.0546159854621482 | 0 | 46686579
1 | -3.9 | 0.0 | 0 | 46686579
1 | ack_count | 0.025655373483593723 | 0 | 46686579
1 | -4.2 | 0.0 | 0 | 46686579
1 | psh_flag_number | 0.03835295312424515 | 0 | 46686579
1 | arp | 0.003584220730069401 | 0 | 46686579
1 | number | 0.00011688789014717241 | 0 | 46686579
1 | urg_count | 0.2429463977459828 | 0 | 46686579
1 | cwr_flag_number | 0.00013245129929680827 | 0 | 46686579
1 | 4.2 | 0.0 | 0 | 46686579
1 | 8.3 | 0.0 | 0 | 46686579
1 | ssh | 0.0009930150676062284 | 0 | 46686579
1 | -4.2 | 0.0 | 0 | 46686579
1 | 3.6 | 2.1521194708403744e-05 | 0 | 46686579
1 | tot_sum | 0.3081181314519219 | 0 | 46686579
1 | -10.0 | 0.0 | 0 | 46686579
1 | fin_count | 0.041077939277666564 | 0 | 46686579
1 | fin_flag_number | 0.04777949570541035 | 0 | 46686579
2 | tot_sum | 0.3081181314519219 | 0 | 46686579
2 | urg_count | 0.2429463977459828 | 0 | 46686579
2 | udp | 0.0546159854621482 | 0 | 46686579
2 | fin_flag_number | 0.04777949570541035 | 0 | 46686579
2 | fin_count | 0.041077939277666564 | 0 | 46686579
2 | (sqr (/ (abs header_length) tcp)) | 0.0 | 19896220 | 26790359
2 | (sqrt (max (* 5.8 ack_flag_number) (sqr -4.5))) | 0.0 | 0 | 46686579
2 | udp | 0.0546159854621482 | 0 | 46686579
2 | (sqr rst_flag_number) | 0.0489336538422597 | 0 | 46686579
2 | (sqrt (- 4.3 (neg -4.4))) | 0.0 | 0 | 46686579
2 | (min (* icmp -9.3) (abs (min variance (- -8.9 header_length)))) | 0.06866983110328122 | 0 | 46686579
2 | (+ drate (sqrt ece_flag_number)) | 0.00014655018764500653 | 0 | 46686579
2 | (* (/ fin_flag_number dns) (neg (abs (sqrt srate)))) | 0.0 | 46680478 | 6101
2 | (neg (neg (* psh_flag_number (abs srate)))) | 0.0030834943086291223 | 0 | 46686579
2 | (sqr (abs weight)) | 0.24977644804366922 | 0 | 46686579
2 | (sqrt (sqr urg_count)) | 0.2429463977459828 | 0 | 46686579
2 | (neg (* (max 3.8 -2.1) (sqrt (/ header_length (sqrt dhcp))))) | 0.0 | 46686499 | 80
2 | (* (- (sqr (sqr number)) 9.6) (neg (neg (sqr 3.3)))) | 0.35428577117729 | 0 | 46686579
2 | (- (max duration covariance) (neg (+ (neg -1.9) variance))) | 0.2939246199909498 | 0 | 46686579
2 | (- (sqr (- (+ fin_count -0.5) (sqrt -9.6))) (neg iat)) | 0.000997844470072331 | 0 | 46686579
3 | (* (- (sqr (sqr number)) 9.6) (neg (neg (sqr 3.3)))) | 0.35428577117729 | 0 | 46686579
3 | tot_sum | 0.3081181314519219 | 0 | 46686579
3 | (- (max duration covariance) (neg (+ (neg -1.9) variance))) | 0.2939246199909498 | 0 | 46686579
3 | (sqr (abs weight)) | 0.24977644804366922 | 0 | 46686579
3 | urg_count | 0.2429463977459828 | 0 | 46686579
3 | (- (max duration covariance) (/ 4.9 llc)) | 0.29465887945463876 | 5261 | 46681318
3 | (* (- (sqr (sqr fin_count)) 9.6) (neg (neg (sqr 3.3)))) | 0.0002540408046344051 | 0 | 46686579
3 | (* (sqr 9.3) (* (sqrt max) weight)) | 0.39637347884679464 | 0 | 46686579
3 | (sqr (abs (/ (max 2.5 (sqrt (sqr covariance))) srate))) | 9.873969700920067e-05 | 947054 | 45739525
3 | (- (max duration (sqr -5.5)) (neg (+ (neg -1.9) variance))) | 0.5429205090762644 | 0 | 46686579
3 | (sqr (abs -8.1)) | 3.773421270588753e-05 | 0 | 46686579
3 | (* (- (sqr (sqr number)) avg) (neg (neg (sqr 3.3)))) | 0.3371396795867755 | 0 | 46686579
3 | (neg (abs (min (sqrt tot_size) icmp))) | 0.06866983110331071 | 0 | 46686579
3 | (* (- (sqr (sqr number)) 9.6) ssh) | 0.0007178234046873296 | 0 | 46686579
